b'id',b'handle',b'message',b'location',b'polarity'
,,,,
b'1',b'Imamofpeace',b'Buhari media is FAKE NEWS. This is what Nigeria really thinks about me. #PresidentCovik #BuhariResign https://t.co/aUShOwJFij',b'Australia and USA',0
,,,,
b'2',b'Imamofpeace',"b'#BREAKING: Explosion in Nigeria leaves School principal dead, 36 students, 19 adults admitted at Navy Hospital. 15 schoolchildren killed.\n\nOver 200 persons displaced, 50 houses and Churches destroyed.\n\nFailed President #BuhariResign  https://t.co/mCMgDNq6el'",b'Australia and USA',0
,,,,
b'3',b'PhilipObin',"b""The concocted audio message flying on WhatsApp and other social media platforms, about President Buhari\xe2\x80\x99s whereabouts should be totally disregarded. It is Fake News in its entirety. Here's the President at work, this night, at the State House, Abuja FCT. https://t.co/XufiKCUCL7""",b'Nigeria',0
,,,,
b'4',b'yofigirl',"b""Even if he did, it's proof that he always wanted PEACE in Nigeria. But, your brain dead President hate progressive minds!\n\nEverything he's said is true. Just deal with the truth and stop this cheap blackmail!\n\nCall Buhari to address Nigerians or shut up! https://t.co/lmIIJOsIEh""",b'lagos nigeria',0
,,,,
b'5',b'purekellz',b'@JtIdris @Chyke11 @ronaldnzimora Almajiri. I like meeting your type in person so you can look me in the face a say any of what you are using twitter cover to say..',b'',0
,,,,
b'6',b'FaroukDanmusa1',"b""#imamofpiss is just chasing clout with gullible IPOB. But how would they know after all they don't have a brain to think for themselves""","b'Abuja, Nigeria'",0
,,,,
b'7',b'princem62991931',b'@Imamofpeace Sir you\xe2\x80\x99re doing a great job and may God reward your immensely. You\xe2\x80\x99re right about Buhari (Jubril) and the government of Nigeria but you\xe2\x80\x99re wrong addressing him as Buhari the Buhari that was voted for by fools in Nigeria is long dead that\xe2\x80\x99s why the impostor is running',b'',1
,,,,
b'8',b'Almindeely',"b'#LongLivePresidentBuhari and we will not listen to the #ImamOfLies who impress only IPOB members, Nigeria is not Biafra. #IdiotIranian'",b'Abuja to Yerwa',0
,,,,
b'9',b'DwarfBigheaded',"b'@CovenantBuhari Where were y\xe2\x80\x99all cowards yesterday,IPOB ko\xf0\x9f\x98\x8f'",b'',1
,,,,
b'10',b'jst1step2Biafra',b'@Imamofpeace @Amaka_Ekwo Explosion \xf0\x9f\x92\xa5 right what then triggers it if not bomb \xf0\x9f\x92\xa3 dissolution of Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac now to save life\xe2\x80\x99s #UnitedNations #COVID19 is a child\xe2\x80\x99s play to what is happening in zoo #Nigeria',b'',1
,,,,
b'11',b'c_ositadinma',"b'@UmuodeZone @Amaka_Ekwo @MaziNnamdiKanu @IpobosisiomaLga @HQNigerianArmy @PoliceNG @NGRPresident @MBuhari @NigeriaGov @NGRSenate @nassnigeria @mefonna @Amaka_Ekwo_IPOB @EmekaGift18 Work for Nigeria, end up like this.'","b'Owerri, Nigeria'",0
,,,,
b'12',b'irukanews',b'[:en]IPOB Leader Announces N50m Donation To Fight Coronavirus[:] https://t.co/410YBD3rDU https://t.co/gIhCQjU5FJ',b'Nigeria',0
,,,,
